Model	Accuracy	AUC	Recall	Prec.	F1	Kappa	MCC	TT (Sec)
Light Gradient Boosting Machine	0.5821	0.6588	0.4917	0.5333	0.4787	0.154	0.1596	0.062
K Neighbors Classifier	0.6536	0.6583	0.3667	0.6167	0.4367	0.2467	0.2699	0.124
Extra Trees Classifier	0.6536	0.6358	0.3	0.5333	0.3633	0.2252	0.2579	0.032
Random Forest Classifier	0.6286	0.631	0.3	0.4833	0.3533	0.1783	0.2029	0.038
Gradient Boosting Classifier	0.625	0.5867	0.3833	0.4917	0.4157	0.1832	0.181	0.013
Decision Tree Classifier	0.5821	0.5733	0.5167	0.5067	0.5014	0.1459	0.1499	0.118
Ada Boost Classifier	0.5571	0.5258	0.4333	0.4667	0.4281	0.0858	0.0859	0.119
Linear Discriminant Analysis	0.5161	0.4854	0.3333	0.47	0.3621	0.0066	0.02	0.004
Logistic Regression	0.5018	0.4808	0.3333	0.42	0.3521	-0.021	-0.018	0.209
Naive Bayes	0.4982	0.45	0.35	0.4667	0.3714	-0.0373	-0.0197	0.004
Quadratic Discriminant Analysis	0.4875	0.3475	0.1667	0.2	0.18	-0.1137	-0.1205	0.004
SVM - Linear Kernel	0.5571	0.0	0.4	0.4367	0.3867	0.0821	0.1011	0.003
Ridge Classifier	0.5161	0.0	0.3333	0.47	0.3621	0.0066	0.02	0.003
