Accuracy	AUC	Recall	Prec.	F1	Kappa	MCC
0.5	0.6875	0.0	0.0	0.0	0.0	0.0
0.75	1.0	0.3333	1.0	0.5	0.3846	0.488
0.5	0.4	0.6667	0.4	0.5	0.0588	0.0667
0.625	0.8667	0.6667	0.5	0.5714	0.25	0.2582
0.625	0.8667	0.0	0.0	0.0	0.0	0.0
0.7143	0.5	0.6667	0.6667	0.6667	0.4167	0.4167
0.5714	0.6667	0.3333	0.5	0.4	0.087	0.0913
0.7143	0.6667	0.6667	0.6667	0.6667	0.4167	0.4167
0.5714	0.3333	0.6667	0.5	0.5714	0.16	0.1667
0.7143	0.8333	0.3333	1.0	0.5	0.3636	0.4714
0.6286	0.6821	0.4333	0.5233	0.4376	0.2137	0.2376
0.0874	0.2066	0.2603	0.3256	0.2317	0.1642	0.1872
