Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
Lasso Regression	0.451	0.3266	0.5595	-0.4366	0.0698	0.0651	0.114
Elastic Net	0.451	0.3266	0.5595	-0.4366	0.0698	0.0651	0.004
Lasso Least Angle Regression	0.451	0.3266	0.5595	-0.4366	0.0698	0.0651	0.109
Bayesian Ridge	0.4515	0.3273	0.5601	-0.44	0.0699	0.0652	0.004
Orthogonal Matching Pursuit	0.5068	0.4091	0.6307	-0.7817	0.0789	0.0732	0.114
K Neighbors Regressor	0.516	0.425	0.6347	-0.7315	0.0793	0.0745	0.006
AdaBoost Regressor	0.5074	0.4195	0.6402	-0.8067	0.08	0.073	0.012
Random Forest Regressor	0.5116	0.4337	0.647	-0.9339	0.0808	0.0741	0.034
Extra Trees Regressor	0.5146	0.4443	0.6483	-1.0097	0.081	0.0747	0.029
Light Gradient Boosting Machine	0.544	0.4663	0.67	-1.0447	0.0837	0.0791	0.059
Ridge Regression	0.5787	0.5211	0.7114	-1.3291	0.0889	0.0836	0.004
Linear Regression	0.5865	0.5343	0.7203	-1.3993	0.09	0.0848	0.207
Least Angle Regression	0.5865	0.5343	0.7203	-1.3993	0.09	0.0848	0.005
Huber Regressor	0.6123	0.5635	0.7332	-1.5386	0.0919	0.0885	0.005
Gradient Boosting Regressor	0.5851	0.5796	0.7469	-1.5697	0.0934	0.0849	0.011
Passive Aggressive Regressor	0.7176	0.7225	0.8343	-2.1675	0.1047	0.104	0.109
Decision Tree Regressor	0.6989	0.7808	0.859	-2.9583	0.1075	0.1014	0.111
